file,line,type,commit,author,date,time,timezone,datetime,depth,length
resume.html,84,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,0,0
resume.html,85,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,4,6
resume.html,86,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,6,20
resume.html,87,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,4,0
resume.html,88,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,0,0
resume.html,89,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,4,4
resume.html,90,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,6,17
resume.html,91,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,6,15
resume.html,92,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,6,13
resume.html,93,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,4,0
resume.html,94,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,0,0
resume.html,95,html,c354d0e4,MManiSSingh,2025-01-17,23:23:50,-08:00,2025-01-17T23:23:50-08:00,4,12
resume.html,96,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,6,12
resume.html,97,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,6,58
resume.html,98,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,6,10
resume.html,99,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,6,15
resume.html,100,html,420eb7f6,MManiSSingh,2025-01-31,17:05:44,-08:00,2025-01-31T17:05:44-08:00,6,9
resume.html,101,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,4,0
resume.html,102,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,0,0
resume.html,103,html,c354d0e4,MManiSSingh,2025-01-17,23:23:50,-08:00,2025-01-17T23:23:50-08:00,4,15
resume.html,104,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,6,14
resume.html,105,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,6,30
resume.html,106,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,6,11
resume.html,107,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,6,21
resume.html,108,html,420eb7f6,MManiSSingh,2025-01-31,17:05:44,-08:00,2025-01-31T17:05:44-08:00,6,17
resume.html,109,html,22f37555,MManiSSingh,2025-01-31,20:26:31,-08:00,2025-01-31T20:26:31-08:00,4,0
resume.html,110,html,22f37555,MManiSSingh,2025-01-31,20:26:31,-08:00,2025-01-31T20:26:31-08:00,0,0
